,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2
ALGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004754543671357192,0.04051896093300056,0.14262558842274892,0.11320674588535351,0.11320674588535351,0.10897764407875979,0.0802710614189085,0.12461567235115817,,
ALLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.06840726764324057,-0.027889632613789517,-0.013289530338447653,-0.08518335829718904,-0.08518335829718904,0.023741537737270363,0.03468299758457949,0.10171908043132921,,
LNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0016997701453499783,0.0004011543755335703,0.041116543800466615,0.012754986642276776,0.012754986642276776,0.033460480237067956,0.04755220424667773,0.05140071075700583,,
ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023550537033587282,0.008777734778578905,0.10815765239571545,0.07717096397965297,0.07717096397965297,0.23327266689444545,0.23331920881443227,0.17325872262084777,,
GOOGL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.005262999370901134,0.02846100949225855,0.12108725465641301,-0.029494965696510278,-0.029494965696510278,0.10965519667137949,0.07351472928397279,0.08099009303548976,,
GOOG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.008055707311733884,0.017619323550612576,0.116071618988313,-0.039419736855719645,-0.039419736855719645,0.12095744919191864,0.0770943063843938,0.07745827152511348,,
MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.010661576530914069,0.003489940408596383,0.0020443855798473465,0.0005912812920148627,0.0005912812920148627,0.008319951217866682,0.03340195404190589,0.06429627834613025,,
AMZN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.045499197488014786,0.008564013148473992,0.09033886323070067,-0.057722726923461865,-0.057722726923461865,0.013905419700092903,0.07441733252638835,0.04135519112668862,,
AMCR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.011490075548970913,-0.011215284087011862,-0.014411462313316983,-0.019173998643447654,-0.019173998643447654,0.00434917662902564,0.006754042785973788,0.010853694702368591,,
AEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00850337540052673,0.004743143348367486,0.04966936654710692,0.032470586527060155,0.032470586527060155,0.042287909204670744,0.06490230699002134,0.07546247630582424,,
AEP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.026596519259546175,-0.02100027065031891,0.031119604225491173,-0.00422095557579566,-0.00422095557579566,0.02238810467023109,0.018599542438729338,0.05353211692187468,,
AXP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.009364789404356089,0.06380270772061547,-0.038785954182466165,0.08065668054891872,0.08065668054891872,0.15702545861361786,0.23747676763137832,0.05495567977164317,,
AIG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.024021555901717714,0.026473625372082674,0.02260597091831775,0.04503116087830745,0.04503116087830745,0.045128789183186656,0.04700156518008619,0.031480482470666746,,
AMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0050109482176243225,-0.030083130078223608,0.01572999511887367,0.0037308200170410033,0.0037308200170410033,0.0764336613239486,0.033417191862968654,0.15995930923257573,,
AWK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.041167372982543624,-0.022624397891506012,0.07030994800483292,0.0004838578037903579,0.0004838578037903579,0.026731799919611998,0.040936674332290784,0.09280237603785771,,
